Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
11996249,2022-11-23 02:07:32,www.voksi.no || htos01mstryje40prod,www.voksi.no,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""htos01mstryje40prod"",""cluster_htos01mstryje40prod"",""customer_htos""]",http,1.0,up,2025-05-05 08:33:38
12021134,2022-12-12 13:11:14,www.sigvaris.ca || sigv03aap5yr8vprod,www.sigvaris.ca,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_sigv"",""sigv03aap5yr8vprod"",""cluster_sigv03aap5yr8vprod""]",http,1.0,up,2025-05-05 08:34:08
12021135,2022-12-12 13:11:34,www.sigvaris.de || sigv03aap5yr8vprod,www.sigvaris.de,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_sigv"",""sigv03aap5yr8vprod"",""cluster_sigv03aap5yr8vprod""]",http,1.0,up,2025-05-05 08:33:22
12021138,2022-12-12 13:12:24,www.sigvaris-export.com || sigv03aap5yr8vprod,www.sigvaris-export.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_sigv"",""sigv03aap5yr8vprod"",""cluster_sigv03aap5yr8vprod""]",http,1.0,up,2025-05-05 08:34:11
12024383,2022-12-14 02:02:33,www.semma.fi || cgff03aap6ntg1prod,www.semma.fi,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_cgff"",""cgff03aap6ntg1prod"",""cluster_cgff03aap6ntg1prod""]",http,1.0,paused,
12024385,2022-12-14 02:02:51,www.unica.fi || cgff03aap6ntg1prod,www.unica.fi,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_cgff"",""cgff03aap6ntg1prod"",""cluster_cgff03aap6ntg1prod""]",http,1.0,paused,
12031123,2022-12-19 16:41:35,optiq-emea-prod01-ingest-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:26
12031124,2022-12-19 16:41:35,optiq-emea-prod01-extract-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:49
12031125,2022-12-19 16:41:36,optiq-emea-prod01-provisioning-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:39
12031126,2022-12-19 16:41:36,optiq-emea-prod01-doc-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:05
12031128,2022-12-19 16:41:36,optiq-emea-prod01-journal-service,optiq-emea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:58
