Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
839300,2013-05-08 06:55:46,www.traguiden.se,www.traguiden.se,[],http,,up,2025-05-05 08:33:36,traguiden.se.,217.114.93.149,dns03.ports.se.;dns01.dipcon.com.;dns02.ports.se.;dns04.ports.net.
839302,2013-05-08 06:55:47,www.siteseeker.se,www.siteseeker.se,"[""everweb"",""ws46""]",http,,up,2025-05-05 08:32:56,siteseeker.se.,217.114.90.145,ns-1668.awsdns-16.co.uk.;ns-337.awsdns-42.com.;ns-898.awsdns-48.net.;ns-1057.awsdns-04.org.
839321,2013-05-08 06:55:55,www.humlegarden.se,www.humlegarden.se,[],http,,up,2025-05-05 08:33:20,humlegarden.se.,217.114.92.204,ns1-08.azure-dns.com.;ns4-08.azure-dns.info.;ns3-08.azure-dns.org.;ns2-08.azure-dns.net.
839322,2013-05-08 06:55:56,www.kil.se,www.kil.se,"[""epwsweb103""]",http,1.0,up,2025-05-05 08:33:42,,185.84.52.245,
839331,2013-05-08 06:55:59,www.formpipe.com,www.formpipe.com,"[""epwsweb103""]",http,1.0,up,2025-05-05 08:33:13,,217.114.92.204,
839346,2013-05-08 06:56:17,www.sogeti.dk,www.sogeti.dk,[],http,1.0,up,2025-05-05 08:33:33,,192.0.66.2,
839357,2013-05-08 06:56:24,www.tamro.se,www.tamro.se,"[""epwsweb101""]",http,,up,2025-05-05 08:33:30,cname.vercel-dns.com.,76.76.21.93;66.33.60.130,
839358,2013-05-08 06:56:24,www.fondbolagen.se,www.fondbolagen.se,"[""epwsweb103""]",http,1.0,up,2025-05-05 08:33:27,,79.142.242.150,
839373,2013-05-08 06:56:31,www.barndiabetesfonden.se,www.barndiabetesfonden.se,"[""epwsweb103""]",http,1.0,up,2025-05-05 08:33:41,,217.114.92.202,
1437975,2014-12-02 14:18:58,www.sbff.se,www.sbff.se,"[""epwsweb102""]",http,1.0,up,2025-05-05 08:33:01,,217.114.92.204,
839452,2013-05-08 06:57:10,www.scr.se,www.scr.se,[],http,,up,2025-05-05 08:33:16,,176.10.139.207,
839470,2013-05-08 06:57:26,www.sogeti.no,www.sogeti.no,[],http,1.0,paused,2025-02-03 00:39:34,sogeti.no.,192.0.66.24,nova.ns.cloudflare.com.;stanley.ns.cloudflare.com.
